                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4718,                0.71138,                0.92366,                 2.9378,             0.00023757,             0.00023757,             0.00023757
                      2,                 1.0798,                0.81389,                0.97019,                 2.7683,             0.00046615,             0.00046615,             0.00046615
                      3,                0.83482,                0.87314,                0.98473,                 2.6863,             0.00068531,             0.00068531,             0.00068531
                      4,                0.69819,                0.90367,                0.98946,                  2.649,             0.00067159,             0.00067159,             0.00067159
                      5,                 0.6138,                0.91058,                0.99019,                 2.6267,             0.00065745,             0.00065745,             0.00065745
                      6,                0.54022,                0.91821,                0.99237,                 2.6155,             0.00064331,             0.00064331,             0.00064331
                      7,                0.49226,                0.93384,                0.99237,                  2.591,             0.00062918,             0.00062918,             0.00062918
                      8,                0.44511,                0.94547,                0.99455,                 2.5744,             0.00061504,             0.00061504,             0.00061504
                      9,                0.41935,                0.94693,                0.99491,                 2.5685,              0.0006009,              0.0006009,              0.0006009
                     10,                0.38739,                0.95456,                0.99527,                 2.5591,             0.00058677,             0.00058677,             0.00058677
                     11,                0.35266,                0.95856,                0.99527,                 2.5491,             0.00057263,             0.00057263,             0.00057263
                     12,                0.34344,                0.96001,                0.99709,                 2.5507,             0.00055849,             0.00055849,             0.00055849
                     13,                0.30726,                0.96583,                0.99636,                 2.5426,             0.00054435,             0.00054435,             0.00054435
                     14,                0.29734,                0.97201,                0.99673,                 2.5369,             0.00053022,             0.00053022,             0.00053022
                     15,                0.30604,                 0.9691,                0.99709,                 2.5429,             0.00051608,             0.00051608,             0.00051608
                     16,                0.27357,                0.97419,                0.99673,                 2.5361,             0.00050194,             0.00050194,             0.00050194
                     17,                0.26604,                0.97419,                0.99782,                 2.5302,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.2434,                0.97419,                0.99746,                  2.527,             0.00047367,             0.00047367,             0.00047367
                     19,                0.23736,                0.97455,                0.99746,                 2.5262,             0.00045953,             0.00045953,             0.00045953
                     20,                0.22513,                0.97419,                0.99746,                 2.5269,             0.00044539,             0.00044539,             0.00044539
                     21,                0.21714,                0.97637,                0.99673,                 2.5232,             0.00043126,             0.00043126,             0.00043126
                     22,                0.21179,                0.98001,                0.99709,                 2.5189,             0.00041712,             0.00041712,             0.00041712
                     23,                0.20509,                0.97855,                0.99746,                 2.5201,             0.00040298,             0.00040298,             0.00040298
                     24,                0.19346,                0.98546,                0.99782,                 2.5149,             0.00038884,             0.00038884,             0.00038884
                     25,                 0.2005,                0.98292,                0.99673,                 2.5154,             0.00037471,             0.00037471,             0.00037471
                     26,                0.20114,                0.98037,                0.99636,                 2.5154,             0.00036057,             0.00036057,             0.00036057
                     27,                0.17356,                0.98073,                0.99709,                 2.5142,             0.00034643,             0.00034643,             0.00034643
                     28,                0.15727,                0.98546,                0.99709,                 2.5103,              0.0003323,              0.0003323,              0.0003323
                     29,                0.16692,                0.98401,                0.99709,                 2.5106,             0.00031816,             0.00031816,             0.00031816
                     30,                0.15445,                0.98255,                0.99746,                 2.5131,             0.00030402,             0.00030402,             0.00030402
                     31,                0.15801,                0.98146,                0.99746,                 2.5118,             0.00028988,             0.00028988,             0.00028988
                     32,                 0.1508,                0.98619,                0.99746,                 2.5083,             0.00027575,             0.00027575,             0.00027575
                     33,                0.14504,                0.98437,                0.99746,                 2.5094,             0.00026161,             0.00026161,             0.00026161
                     34,                 0.1437,                0.98764,                0.99746,                 2.5063,             0.00024747,             0.00024747,             0.00024747
                     35,                0.12936,                0.98728,                0.99709,                 2.5066,             0.00023334,             0.00023334,             0.00023334
                     36,                0.12071,                0.98655,                0.99746,                 2.5058,              0.0002192,              0.0002192,              0.0002192
                     37,                0.12414,                0.98728,                0.99746,                  2.505,             0.00020506,             0.00020506,             0.00020506
                     38,                0.13174,                  0.988,                0.99709,                 2.5051,             0.00019092,             0.00019092,             0.00019092
                     39,                0.12687,                0.98619,                0.99746,                 2.5061,             0.00017679,             0.00017679,             0.00017679
                     40,                0.11775,                  0.988,                0.99782,                 2.5046,             0.00016265,             0.00016265,             0.00016265
                     41,                0.11211,                0.98655,                0.99746,                 2.5053,             0.00014851,             0.00014851,             0.00014851
                     42,                0.11216,                0.98691,                0.99782,                 2.5047,             0.00013437,             0.00013437,             0.00013437
                     43,                0.10167,                0.98764,                0.99746,                 2.5042,             0.00012024,             0.00012024,             0.00012024
                     44,                0.10307,                0.98946,                0.99746,                 2.5033,              0.0001061,              0.0001061,              0.0001061
                     45,                0.10823,                0.98873,                0.99709,                 2.5032,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.10227,                0.98837,                0.99782,                  2.503,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.10197,                0.98837,                0.99746,                 2.5027,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.10289,                0.98909,                0.99746,                 2.5026,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.09687,                0.98946,                0.99782,                 2.5027,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 0.0986,                0.99055,                0.99782,                 2.5024,             2.1277e-05,             2.1277e-05,             2.1277e-05
